latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-10.38258,29.91679,322.36,0.59,0.7,2023-10-08,5,1,VIIRS,n,2.0NRT,287.55,16.68,N
-10.38196,29.91162,353.11,0.59,0.7,2023-10-08,5,1,VIIRS,n,2.0NRT,294.06,12.99,N
-10.38134,29.90648,347.09,0.59,0.7,2023-10-08,5,1,VIIRS,n,2.0NRT,287.92,12.99,N
-10.37553,29.91238,324.08,0.59,0.7,2023-10-08,5,1,VIIRS,n,2.0NRT,287.58,12.99,N
-10.37491,29.90723,298.12,0.59,0.7,2023-10-08,5,1,VIIRS,n,2.0NRT,287,12.99,N
-10.36455,29.92961,318.47,0.59,0.7,2023-10-08,5,1,VIIRS,n,2.0NRT,288.33,3.78,N
-10.36393,29.92443,302.39,0.59,0.7,2023-10-08,5,1,VIIRS,n,2.0NRT,287.12,2.76,N
-10.33413,28.80272,304.17,0.49,0.65,2023-10-08,5,1,VIIRS,n,2.0NRT,290.97,0.67,N
-10.31269,28.62802,300.08,0.48,0.65,2023-10-08,5,1,VIIRS,n,2.0NRT,287.17,1.49,N
-10.1319,30.46754,316.82,0.64,0.72,2023-10-08,5,1,VIIRS,n,2.0NRT,286.22,2.21,N
-10.13119,30.46161,296.44,0.64,0.72,2023-10-08,5,1,VIIRS,n,2.0NRT,285.84,2.21,N
-10.06687,29.98286,296.91,0.59,0.7,2023-10-08,5,1,VIIRS,n,2.0NRT,286.42,1.13,N
-9.93725,31.60486,300.23,0.76,0.77,2023-10-08,5,1,VIIRS,n,2.0NRT,286.57,2.36,N
-9.93214,31.60328,309.42,0.76,0.77,2023-10-08,5,1,VIIRS,n,2.0NRT,287.18,2.87,N
-9.69922,31.0764,298.85,0.69,0.74,2023-10-08,5,1,VIIRS,n,2.0NRT,285.95,1.62,N
-9.69845,31.07008,305.15,0.69,0.74,2023-10-08,5,1,VIIRS,n,2.0NRT,285.57,1.62,N
-9.59203,30.25751,300.81,0.61,0.71,2023-10-08,5,1,VIIRS,n,2.0NRT,286.76,0.99,N
-8.822,31.47698,299.3,0.72,0.76,2023-10-08,5,1,VIIRS,n,2.0NRT,284.62,0.53,N
-8.82172,31.47509,295.85,0.72,0.75,2023-10-08,5,1,VIIRS,n,2.0NRT,284.44,0.49,N
-8.7918,30.61695,298.92,0.63,0.72,2023-10-08,5,1,VIIRS,n,2.0NRT,286.47,1.06,N
-8.00959,31.05505,306.64,0.66,0.73,2023-10-08,5,1,VIIRS,n,2.0NRT,286.57,2.64,N
-7.98987,29.96027,295.98,0.55,0.68,2023-10-08,5,1,VIIRS,n,2.0NRT,285.62,3.68,N
-7.98939,29.95644,299.19,0.55,0.68,2023-10-08,5,1,VIIRS,n,2.0NRT,286.47,4.89,N
-7.98616,14.71777,317.39,0.49,0.4,2023-10-08,5,1,VIIRS,n,2.0NRT,282.86,2.12,N
-7.84687,12.11234,329.4,0.47,0.48,2023-10-08,5,1,VIIRS,n,2.0NRT,290.42,4.26,N
-7.84613,12.10809,331.74,0.47,0.48,2023-10-08,5,1,VIIRS,n,2.0NRT,290.33,4.13,N
-7.73037,30.14529,304.69,0.56,0.69,2023-10-08,5,1,VIIRS,n,2.0NRT,286.28,0.79,N
-7.72794,30.15061,304.7,0.56,0.69,2023-10-08,5,1,VIIRS,n,2.0NRT,287.21,1.03,N
-7.72707,30.14382,307.93,0.56,0.69,2023-10-08,5,1,VIIRS,n,2.0NRT,286.27,1.03,N
-7.72499,30.15293,300.25,0.56,0.69,2023-10-08,5,1,VIIRS,n,2.0NRT,287.07,0.77,N
-7.675,29.83632,295.63,0.54,0.67,2023-10-08,5,1,VIIRS,n,2.0NRT,283.64,1.33,N
-7.64214,29.86635,296.24,0.54,0.68,2023-10-08,5,1,VIIRS,n,2.0NRT,284.59,1.77,N
-7.64155,29.86189,299.57,0.54,0.68,2023-10-08,5,1,VIIRS,n,2.0NRT,283.77,1.48,N
-7.58866,12.10794,319.81,0.48,0.48,2023-10-08,5,1,VIIRS,n,2.0NRT,291.13,2.13,N
-7.50328,30.17716,320.44,0.56,0.69,2023-10-08,5,1,VIIRS,n,2.0NRT,285.41,2.46,N
-7.50087,30.18211,302.95,0.56,0.69,2023-10-08,5,1,VIIRS,n,2.0NRT,285.62,1.41,N
-7.50015,30.17645,312.72,0.56,0.69,2023-10-08,5,1,VIIRS,n,2.0NRT,285.21,1.41,N
-7.39702,30.17713,310.51,0.56,0.69,2023-10-08,5,1,VIIRS,n,2.0NRT,288.88,2.76,N
-7.39374,30.17137,307.28,0.56,0.69,2023-10-08,5,1,VIIRS,n,2.0NRT,288.11,1.97,N
-7.27065,29.93463,301.63,0.54,0.68,2023-10-08,5,1,VIIRS,n,2.0NRT,283.56,1.82,N
-7.27003,29.93009,309.21,0.54,0.68,2023-10-08,5,1,VIIRS,n,2.0NRT,283.23,1.48,N
-7.26948,29.93285,309.05,0.54,0.68,2023-10-08,5,1,VIIRS,n,2.0NRT,283.97,2.75,N
-7.20219,12.38823,315.05,0.46,0.47,2023-10-08,5,1,VIIRS,n,2.0NRT,291.41,1.39,N
-7.17046,12.38519,310.49,0.46,0.47,2023-10-08,5,1,VIIRS,n,2.0NRT,291.14,1.18,N
-7.15832,12.33983,327.18,0.47,0.47,2023-10-08,5,1,VIIRS,n,2.0NRT,291.2,2.09,N
-7.06617,12.41004,338.5,0.46,0.47,2023-10-08,5,1,VIIRS,n,2.0NRT,291.82,4,N
-6.99657,14.48159,334.69,0.52,0.41,2023-10-08,5,1,VIIRS,n,2.0NRT,284.55,5.18,N
-6.99274,14.48204,315.35,0.52,0.41,2023-10-08,5,1,VIIRS,n,2.0NRT,284.14,1.88,N
-6.93415,31.50297,314.02,0.68,0.74,2023-10-08,5,1,VIIRS,n,2.0NRT,288.07,1.99,N
-6.92947,31.50176,301.33,0.68,0.74,2023-10-08,5,1,VIIRS,n,2.0NRT,287.1,2.21,N
-6.85539,12.39227,352.83,0.47,0.48,2023-10-08,5,1,VIIRS,n,2.0NRT,291.97,22.08,N
-6.73856,31.55043,301.66,0.68,0.74,2023-10-08,5,1,VIIRS,n,2.0NRT,288.63,1.05,N
-6.43012,13.87207,308.72,0.57,0.43,2023-10-08,5,1,VIIRS,n,2.0NRT,289.6,1.12,N
-6.15982,11.26828,307.83,0.57,0.52,2023-10-08,5,1,VIIRS,n,2.0NRT,290.17,3.81,N
-5.96536,12.16779,315.55,0.5,0.49,2023-10-08,5,1,VIIRS,n,2.0NRT,290.79,1.6,N
-5.96343,12.1708,310.99,0.5,0.49,2023-10-08,5,1,VIIRS,n,2.0NRT,290.52,1.94,N
-5.90779,12.39688,299.6,0.48,0.48,2023-10-08,5,1,VIIRS,n,2.0NRT,289.53,0.34,N
-5.87167,12.33786,312.99,0.49,0.48,2023-10-08,5,1,VIIRS,n,2.0NRT,289.71,1.72,N
-5.7968,12.62066,302.68,0.47,0.48,2023-10-08,5,1,VIIRS,n,2.0NRT,289.3,0.83,N
-5.42497,12.0008,325.08,0.52,0.5,2023-10-08,5,1,VIIRS,n,2.0NRT,290.15,4.01,N
-5.28183,14.39205,323.18,0.55,0.43,2023-10-08,5,1,VIIRS,n,2.0NRT,287.95,2.19,N
-4.92735,16.89238,309.06,0.42,0.38,2023-10-08,5,1,VIIRS,n,2.0NRT,277.3,1.02,N
-4.92095,11.38158,331.97,0.59,0.53,2023-10-08,5,1,VIIRS,n,2.0NRT,288.01,3.08,N
-4.92005,11.37629,299.18,0.59,0.53,2023-10-08,5,1,VIIRS,n,2.0NRT,287.37,3.08,N
-4.87679,14.86965,307.84,0.53,0.42,2023-10-08,5,1,VIIRS,n,2.0NRT,287.14,1.1,N
