"Product ID",Time,Satellite,F1,X,Y,Latitude,Longitude
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,354,1262,161,-16.75636379516,136.5206536303
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,373,1262,162,-16.747520902636,136.51868832047
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,416,1263,14,-18.058004840517,136.80090894973
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,402,1263,15,-18.049164376988,136.79893469976
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,365,1263,161,-16.758253266297,136.51148285549
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,400,1264,15,-18.051050229533,136.78969746488
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,322,1264,648,-12.451809490656,135.55205552218
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,328,1265,647,-12.462563467698,135.54500488748
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,320,1267,3,-18.162792657076,136.785654602
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,331,1392,240,-16.300332746153,135.17621820849
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,333,1397,246,-16.256501824037,135.11898913203
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,328,1397,626,-12.896900853033,134.39676826269
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,329,1405,622,-12.947159462379,134.33221934132
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,326,1413,251,-16.241686763417,134.96293423559
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,347,1420,255,-16.219162627577,134.89124033512
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,337,1421,255,-16.220990833913,134.88208044504
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,337,1421,256,-16.212153529834,134.88018739259
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,357,1422,263,-16.15212034558,134.85777936673
